date_id,date,day,month,year,day_of_week,quarter,extended_date
0,2013-01-01,1,1,2013,Tuesday,1,01 January of 2013
1,2013-01-07,7,1,2013,Monday,1,07 January of 2013
2,2013-01-19,19,1,2013,Saturday,1,19 January of 2013
3,2013-01-23,23,1,2013,Wednesday,1,23 January of 2013
4,2013-01-25,25,1,2013,Friday,1,25 January of 2013
5,2013-01-26,26,1,2013,Saturday,1,26 January of 2013
6,2013-02-02,2,2,2013,Saturday,1,02 February of 2013
7,2013-02-03,3,2,2013,Sunday,1,03 February of 2013
8,2013-02-09,9,2,2013,Saturday,1,09 February of 2013
9,2013-02-11,11,2,2013,Monday,1,11 February of 2013
10,2013-02-19,19,2,2013,Tuesday,1,19 February of 2013
11,2013-03-03,3,3,2013,Sunday,1,03 March of 2013
12,2013-03-04,4,3,2013,Monday,1,04 March of 2013
13,2013-03-07,7,3,2013,Thursday,1,07 March of 2013
14,2013-03-10,10,3,2013,Sunday,1,10 March of 2013
15,2013-03-11,11,3,2013,Monday,1,11 March of 2013
16,2013-03-13,13,3,2013,Wednesday,1,13 March of 2013
17,2013-03-21,21,3,2013,Thursday,1,21 March of 2013
18,2013-04-18,18,4,2013,Thursday,2,18 April of 2013
19,2013-04-21,21,4,2013,Sunday,2,21 April of 2013
20,2013-04-22,22,4,2013,Monday,2,22 April of 2013
21,2013-04-24,24,4,2013,Wednesday,2,24 April of 2013
22,2013-04-25,25,4,2013,Thursday,2,25 April of 2013
23,2013-04-28,28,4,2013,Sunday,2,28 April of 2013
24,2013-05-02,2,5,2013,Thursday,2,02 May of 2013
25,2013-05-04,4,5,2013,Saturday,2,04 May of 2013
26,2013-05-11,11,5,2013,Saturday,2,11 May of 2013
27,2013-05-12,12,5,2013,Sunday,2,12 May of 2013
28,2013-05-13,13,5,2013,Monday,2,13 May of 2013
29,2013-05-14,14,5,2013,Tuesday,2,14 May of 2013
30,2013-05-16,16,5,2013,Thursday,2,16 May of 2013
31,2013-05-18,18,5,2013,Saturday,2,18 May of 2013
32,2013-05-19,19,5,2013,Sunday,2,19 May of 2013
33,2013-05-23,23,5,2013,Thursday,2,23 May of 2013
34,2013-05-25,25,5,2013,Saturday,2,25 May of 2013
35,2013-06-07,7,6,2013,Friday,2,07 June of 2013
36,2013-06-10,10,6,2013,Monday,2,10 June of 2013
37,2013-06-15,15,6,2013,Saturday,2,15 June of 2013
38,2013-06-21,21,6,2013,Friday,2,21 June of 2013
39,2013-06-23,23,6,2013,Sunday,2,23 June of 2013
40,2013-06-27,27,6,2013,Thursday,2,27 June of 2013
41,2013-07-01,1,7,2013,Monday,3,01 July of 2013
42,2013-07-02,2,7,2013,Tuesday,3,02 July of 2013
43,2013-07-07,7,7,2013,Sunday,3,07 July of 2013
44,2013-07-12,12,7,2013,Friday,3,12 July of 2013
45,2013-07-13,13,7,2013,Saturday,3,13 July of 2013
46,2013-07-14,14,7,2013,Sunday,3,14 July of 2013
47,2013-07-20,20,7,2013,Saturday,3,20 July of 2013
48,2013-07-26,26,7,2013,Friday,3,26 July of 2013
49,2013-07-30,30,7,2013,Tuesday,3,30 July of 2013
50,2013-08-02,2,8,2013,Friday,3,02 August of 2013
51,2013-08-04,4,8,2013,Sunday,3,04 August of 2013
52,2013-08-05,5,8,2013,Monday,3,05 August of 2013
53,2013-08-06,6,8,2013,Tuesday,3,06 August of 2013
54,2013-08-09,9,8,2013,Friday,3,09 August of 2013
55,2013-08-14,14,8,2013,Wednesday,3,14 August of 2013
56,2013-08-17,17,8,2013,Saturday,3,17 August of 2013
57,2013-08-19,19,8,2013,Monday,3,19 August of 2013
58,2013-08-20,20,8,2013,Tuesday,3,20 August of 2013
59,2013-08-23,23,8,2013,Friday,3,23 August of 2013
60,2013-08-25,25,8,2013,Sunday,3,25 August of 2013
61,2013-09-07,7,9,2013,Saturday,3,07 September of 2013
62,2013-09-11,11,9,2013,Wednesday,3,11 September of 2013
63,2013-09-14,14,9,2013,Saturday,3,14 September of 2013
64,2013-09-15,15,9,2013,Sunday,3,15 September of 2013
65,2013-09-16,16,9,2013,Monday,3,16 September of 2013
66,2013-09-19,19,9,2013,Thursday,3,19 September of 2013
67,2013-09-20,20,9,2013,Friday,3,20 September of 2013
68,2013-09-22,22,9,2013,Sunday,3,22 September of 2013
69,2013-09-24,24,9,2013,Tuesday,3,24 September of 2013
70,2013-09-27,27,9,2013,Friday,3,27 September of 2013
71,2013-10-05,5,10,2013,Saturday,4,05 October of 2013
72,2013-10-07,7,10,2013,Monday,4,07 October of 2013
73,2013-10-12,12,10,2013,Saturday,4,12 October of 2013
74,2013-10-13,13,10,2013,Sunday,4,13 October of 2013
75,2013-10-26,26,10,2013,Saturday,4,26 October of 2013
76,2013-10-27,27,10,2013,Sunday,4,27 October of 2013
77,2013-11-10,10,11,2013,Sunday,4,10 November of 2013
78,2013-11-11,11,11,2013,Monday,4,11 November of 2013
79,2013-11-22,22,11,2013,Friday,4,22 November of 2013
80,2013-11-28,28,11,2013,Thursday,4,28 November of 2013
81,2013-12-01,1,12,2013,Sunday,4,01 December of 2013
82,2013-12-07,7,12,2013,Saturday,4,07 December of 2013
83,2013-12-22,22,12,2013,Sunday,4,22 December of 2013
84,2013-12-25,25,12,2013,Wednesday,4,25 December of 2013
85,2013-12-26,26,12,2013,Thursday,4,26 December of 2013
86,2014-01-01,1,1,2014,Wednesday,1,01 January of 2014
87,2014-01-02,2,1,2014,Thursday,1,02 January of 2014
88,2014-01-03,3,1,2014,Friday,1,03 January of 2014
89,2014-01-04,4,1,2014,Saturday,1,04 January of 2014
90,2014-01-05,5,1,2014,Sunday,1,05 January of 2014
91,2014-01-06,6,1,2014,Monday,1,06 January of 2014
92,2014-01-07,7,1,2014,Tuesday,1,07 January of 2014
93,2014-01-08,8,1,2014,Wednesday,1,08 January of 2014
94,2014-01-09,9,1,2014,Thursday,1,09 January of 2014
95,2014-01-10,10,1,2014,Friday,1,10 January of 2014
96,2014-01-11,11,1,2014,Saturday,1,11 January of 2014
97,2014-01-12,12,1,2014,Sunday,1,12 January of 2014
98,2014-01-13,13,1,2014,Monday,1,13 January of 2014
99,2014-01-14,14,1,2014,Tuesday,1,14 January of 2014
100,2014-01-15,15,1,2014,Wednesday,1,15 January of 2014
101,2014-01-16,16,1,2014,Thursday,1,16 January of 2014
102,2014-01-17,17,1,2014,Friday,1,17 January of 2014
103,2014-01-18,18,1,2014,Saturday,1,18 January of 2014
104,2014-01-19,19,1,2014,Sunday,1,19 January of 2014
105,2014-01-20,20,1,2014,Monday,1,20 January of 2014
106,2014-01-21,21,1,2014,Tuesday,1,21 January of 2014
107,2014-01-22,22,1,2014,Wednesday,1,22 January of 2014
108,2014-01-23,23,1,2014,Thursday,1,23 January of 2014
109,2014-01-24,24,1,2014,Friday,1,24 January of 2014
110,2014-01-25,25,1,2014,Saturday,1,25 January of 2014
111,2014-01-26,26,1,2014,Sunday,1,26 January of 2014
112,2014-01-27,27,1,2014,Monday,1,27 January of 2014
113,2014-01-28,28,1,2014,Tuesday,1,28 January of 2014
114,2014-01-29,29,1,2014,Wednesday,1,29 January of 2014
115,2014-01-30,30,1,2014,Thursday,1,30 January of 2014
116,2014-01-31,31,1,2014,Friday,1,31 January of 2014
117,2014-02-01,1,2,2014,Saturday,1,01 February of 2014
118,2014-02-02,2,2,2014,Sunday,1,02 February of 2014
119,2014-02-03,3,2,2014,Monday,1,03 February of 2014
120,2014-02-04,4,2,2014,Tuesday,1,04 February of 2014
121,2014-02-05,5,2,2014,Wednesday,1,05 February of 2014
122,2014-02-06,6,2,2014,Thursday,1,06 February of 2014
123,2014-02-07,7,2,2014,Friday,1,07 February of 2014
124,2014-02-08,8,2,2014,Saturday,1,08 February of 2014
125,2014-02-09,9,2,2014,Sunday,1,09 February of 2014
126,2014-02-10,10,2,2014,Monday,1,10 February of 2014
127,2014-02-11,11,2,2014,Tuesday,1,11 February of 2014
128,2014-02-12,12,2,2014,Wednesday,1,12 February of 2014
129,2014-02-13,13,2,2014,Thursday,1,13 February of 2014
130,2014-02-14,14,2,2014,Friday,1,14 February of 2014
131,2014-02-15,15,2,2014,Saturday,1,15 February of 2014
132,2014-02-16,16,2,2014,Sunday,1,16 February of 2014
133,2014-02-17,17,2,2014,Monday,1,17 February of 2014
134,2014-02-18,18,2,2014,Tuesday,1,18 February of 2014
135,2014-02-19,19,2,2014,Wednesday,1,19 February of 2014
136,2014-02-20,20,2,2014,Thursday,1,20 February of 2014
137,2014-02-21,21,2,2014,Friday,1,21 February of 2014
138,2014-02-22,22,2,2014,Saturday,1,22 February of 2014
139,2014-02-23,23,2,2014,Sunday,1,23 February of 2014
140,2014-02-24,24,2,2014,Monday,1,24 February of 2014
141,2014-02-25,25,2,2014,Tuesday,1,25 February of 2014
142,2014-02-26,26,2,2014,Wednesday,1,26 February of 2014
143,2014-02-27,27,2,2014,Thursday,1,27 February of 2014
144,2014-02-28,28,2,2014,Friday,1,28 February of 2014
145,2014-03-01,1,3,2014,Saturday,1,01 March of 2014
146,2014-03-02,2,3,2014,Sunday,1,02 March of 2014
147,2014-03-03,3,3,2014,Monday,1,03 March of 2014
148,2014-03-04,4,3,2014,Tuesday,1,04 March of 2014
149,2014-03-05,5,3,2014,Wednesday,1,05 March of 2014
150,2014-03-06,6,3,2014,Thursday,1,06 March of 2014
151,2014-03-07,7,3,2014,Friday,1,07 March of 2014
152,2014-03-08,8,3,2014,Saturday,1,08 March of 2014
153,2014-03-09,9,3,2014,Sunday,1,09 March of 2014
154,2014-03-10,10,3,2014,Monday,1,10 March of 2014
155,2014-03-11,11,3,2014,Tuesday,1,11 March of 2014
156,2014-03-12,12,3,2014,Wednesday,1,12 March of 2014
157,2014-03-13,13,3,2014,Thursday,1,13 March of 2014
158,2014-03-14,14,3,2014,Friday,1,14 March of 2014
159,2014-03-15,15,3,2014,Saturday,1,15 March of 2014
160,2014-03-16,16,3,2014,Sunday,1,16 March of 2014
161,2014-03-17,17,3,2014,Monday,1,17 March of 2014
162,2014-03-18,18,3,2014,Tuesday,1,18 March of 2014
163,2014-03-19,19,3,2014,Wednesday,1,19 March of 2014
164,2014-03-20,20,3,2014,Thursday,1,20 March of 2014
165,2014-03-21,21,3,2014,Friday,1,21 March of 2014
166,2014-03-22,22,3,2014,Saturday,1,22 March of 2014
167,2014-03-23,23,3,2014,Sunday,1,23 March of 2014
168,2014-03-24,24,3,2014,Monday,1,24 March of 2014
169,2014-03-25,25,3,2014,Tuesday,1,25 March of 2014
170,2014-03-26,26,3,2014,Wednesday,1,26 March of 2014
171,2014-03-27,27,3,2014,Thursday,1,27 March of 2014
172,2014-03-28,28,3,2014,Friday,1,28 March of 2014
173,2014-03-29,29,3,2014,Saturday,1,29 March of 2014
174,2014-03-30,30,3,2014,Sunday,1,30 March of 2014
175,2014-03-31,31,3,2014,Monday,1,31 March of 2014
176,2014-04-01,1,4,2014,Tuesday,2,01 April of 2014
177,2014-04-02,2,4,2014,Wednesday,2,02 April of 2014
178,2014-04-03,3,4,2014,Thursday,2,03 April of 2014
179,2014-04-04,4,4,2014,Friday,2,04 April of 2014
180,2014-04-05,5,4,2014,Saturday,2,05 April of 2014
